sampleTimeStamp.seconds;sampleTimeStamp.microseconds;lat;lon;speed;accel_lon;accel_trans;accel_down
1646666473;342779;57.719199088;11.956857241;0.007924924;0.07695633;-0.02447717;-0.1153369
1646666473;443043;57.719199091;11.956857235;0.008396676;0.05873962;-0.05213259;-0.04323332
1646666473;542775;57.719199095;11.956857228;0.009460517;-0.002337574;0.01434037;0.05625401
1646666473;642766;57.719199098;11.956857221;0.009534029;-0.04972646;0.0853517;0.1041728
1646666473;742816;57.719199102;11.956857214;0.009937425;-0.0948121;0.07849211;0.1298719
1646666473;842788;57.719199105;11.956857205;0.01051327;-0.09441607;0.02418879;0.08874177
1646666473;942871;57.719199109;11.956857197;0.009975478;-0.06385274;-0.01345276;0.01077707
1646666474;42850;57.719199112;11.956857188;0.009662726;-0.0153348;-0.009538269;-0.00460862
1646666474;142909;57.719199116;11.956857179;0.009495578;0.05666635;-0.02254156;-0.0741045
1646666474;242837;57.719199119;11.95685717;0.009639339;0.08265048;-0.05116463;-0.1152766
1646666474;342776;57.71919912;11.956857161;0.009726239;0.07961375;-0.04239496;-0.1445445
1646666474;443045;57.719199122;11.956857151;0.01009778;0.06477354;-0.02080795;-0.09466255
1646666474;542799;57.719199123;11.956857142;0.01039824;0.0209992;-0.02619795;0.01288108
1646666474;642793;57.719199124;11.956857131;0.01114189;-0.04248737;0.01197373;0.07401535
1646666474;742840;57.719199126;11.956857121;0.01152628;-0.09089098;0.08408584;0.1856755
1646666474;842811;57.719199127;11.95685711;0.01200134;-0.09054922;0.08872707;0.1181956
1646666474;942903;57.719199129;11.956857098;0.0114836;-0.05453158;0.00671003;0.01517048
1646666475;42870;57.71919913;11.956857087;0.01148291;0.0002752184;-0.06437862;-0.06513879
1646666475;142954;57.719199131;11.956857075;0.01130614;0.07481115;-0.07067011;-0.1039807
1646666475;242856;57.719199133;11.956857062;0.0112533;0.09487607;-0.04034692;-0.1249414
1646666475;342887;57.719199132;11.95685705;0.01165394;0.07825395;-0.01213616;-0.08327864
1646666475;443078;57.719199131;11.956857038;0.01205821;0.05301821;-0.007531817;-0.0456658
1646666475;542866;57.71919913;11.956857025;0.0125263;-0.001634699;0.01446894;0.01054414
1646666475;642826;57.719199129;11.956857012;0.01292532;-0.0752705;0.009203174;0.09828372
1646666475;742867;57.719199129;11.956856999;0.01341297;-0.1003104;0.06037388;0.168046
1646666475;842817;57.719199128;11.956856985;0.01348532;-0.09751619;0.07656801;0.1650819
1646666475;942850;57.719199128;11.956856971;0.01358263;-0.07941748;0.04623505;0.06163307
1646666476;42829;57.719199127;11.956856956;0.01363984;-0.02565194;-0.001913694;-0.02820981
1646666476;142894;57.719199127;11.956856941;0.01346256;0.01039167;-0.040908;-0.06780899
1646666476;242878;57.719199126;11.956856926;0.01363524;0.08176688;-0.07344472;-0.1437422
1646666476;342882;57.719199128;11.956856916;0.01491467;0.1007918;-0.06055102;-0.1415848
1646666476;443133;57.71919913;11.956856906;0.01471617;0.09041378;0.004322754;-0.09477074
1646666476;542915;57.719199131;11.956856895;0.01424585;0.04131173;0.0237965;-0.03532141
1646666476;642942;57.719199133;11.956856884;0.01512735;-0.02094699;0.02105594;0.02885075
1646666476;742911;57.719199135;11.956856873;0.01545416;-0.062149;0.02371002;0.07833418
1646666476;842893;57.719199137;11.956856861;0.01565552;-0.08114722;0.04712354;0.155343
1646666476;942876;57.719199138;11.956856848;0.01595592;-0.1061852;0.06423501;0.1681878
1646666477;42893;57.71919914;11.956856835;0.01580142;-0.08148079;0.07010762;0.05335463
1646666477;142950;57.719199141;11.956856822;0.0159165;-0.0484606;-0.004686962;-0.01755448
1646666477;242929;57.719199143;11.956856807;0.01599191;0.01157199;-0.04766473;-0.07078471
1646666477;342905;57.719199145;11.956856793;0.0156381;0.06563587;-0.06616133;-0.1138475
1646666477;443194;57.719199146;11.956856778;0.01555935;0.1089921;-0.05732295;-0.1448041
1646666477;542890;57.719199148;11.956856763;0.01594818;0.08428991;-0.01969561;-0.134899
1646666477;642905;57.71919915;11.956856747;0.01647449;0.06328628;-0.002105837;-0.05432054
